gamma,mu,lam,eps,status,time,E_rmse,P_caiso,P_wecc,S_dev,E_AZ,E_CA,E_CO,E_ID,E_MT,E_NM,E_NV,E_OR,E_SD,E_TX,E_UT,E_WA,E_WY
0.001,100.0,0.001,1e-06,optimal,59.077,0.018,-12.62,-32.956,17.622,-0.091,0.73,-0.008,-0.001,0.0,-0.001,-0.023,-0.004,0.0,-0.001,-0.002,0.001,-0.001
0.001,100.0,0.01,1e-06,user_limit,127.185,0.017,-12.573,-33.506,17.324,-0.091,0.662,-0.008,-0.001,0.0,-0.001,-0.023,-0.004,0.0,-0.001,-0.002,0.001,-0.001
0.001,100.0,0.1,1e-06,user_limit,124.194,0.018,-13.207,-36.07,17.589,-0.089,0.736,-0.007,-0.001,0.0,-0.001,-0.023,-0.003,0.0,-0.001,-0.002,0.002,-0.0
0.001,100.0,1.0,1e-06,optimal,13.137,0.018,-16.127,-44.4,17.583,-0.071,0.83,-0.0,0.001,0.0,0.0,-0.019,0.001,0.0,-0.001,0.001,0.012,-0.0
0.001,100.0,10.0,1e-06,optimal,4.325,0.049,-21.931,-58.353,48.833,0.109,1.765,0.065,0.014,0.003,0.011,0.023,0.043,0.0,0.001,0.025,0.11,0.003
0.001,100.0,100.0,1e-06,optimal,2.259,0.123,-12.199,-49.743,122.948,1.909,11.746,0.718,0.148,0.033,0.12,0.435,0.464,0.0,0.016,0.266,1.098,0.038
0.01,0.001,0.001,1e-06,optimal,24.618,0.0,-9.419,-33.899,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
0.01,0.001,0.01,1e-06,optimal,22.349,0.0,-9.426,-33.958,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.015,-0.067,-0.209,0.027,-0.33
0.01,0.001,0.1,1e-06,optimal,9.594,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.204,-0.898,-0.296,0.015,-0.067,-0.206,0.03,-0.328
0.01,0.001,1.0,1e-06,optimal,2.319,0.003,-10.072,-36.679,3.028,-0.701,3.418,-0.643,-0.249,0.07,-0.176,-0.882,-0.262,0.018,-0.066,-0.179,0.067,-0.306
0.01,0.001,10.0,1e-06,optimal,1.348,0.015,-12.53,-40.13,14.584,-0.56,3.963,-0.042,0.164,0.53,0.096,-0.722,0.076,0.044,-0.057,0.093,0.434,-0.09
0.01,0.001,100.0,1e-06,optimal,1.979,0.08,-13.181,-4.632,80.272,0.85,9.412,5.97,4.297,5.127,2.82,0.875,3.459,0.308,0.037,2.818,4.098,2.069
0.01,0.01,0.001,1e-06,optimal,25.778,0.0,-9.419,-33.9,0.135,-0.716,3.357,-0.709,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
0.01,0.01,0.01,1e-06,optimal,16.868,0.0,-9.426,-33.959,0.136,-0.716,3.358,-0.709,-0.294,0.02,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.027,-0.328
0.01,0.01,0.1,1e-06,optimal,8.764,0.0,-9.491,-34.427,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.203,-0.897,-0.295,0.01,-0.067,-0.206,0.03,-0.326
0.01,0.01,1.0,1e-06,optimal,2.214,0.003,-10.072,-36.684,3.027,-0.7,3.417,-0.643,-0.248,0.069,-0.176,-0.881,-0.262,0.011,-0.066,-0.179,0.067,-0.305
0.01,0.01,10.0,1e-06,optimal,1.328,0.015,-12.53,-40.162,14.579,-0.56,3.962,-0.042,0.164,0.523,0.096,-0.722,0.076,0.028,-0.057,0.093,0.433,-0.09
