gamma,mu,lam,eps,status,time,E_rmse,P_caiso,P_wecc,S_dev,E_AZ,E_CA,E_CO,E_ID,E_MT,E_NM,E_NV,E_OR,E_SD,E_TX,E_UT,E_WA,E_WY
1.0,1.0,100.0,1e-06,optimal,2.236,0.003,-10.072,-36.684,3.027,-0.7,3.417,-0.643,-0.248,0.069,-0.176,-0.881,-0.262,0.011,-0.066,-0.179,0.067,-0.305
1.0,10.0,0.001,1e-06,optimal,28.298,0.0,-9.419,-33.85,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
1.0,10.0,0.01,1e-06,optimal,24.95,0.0,-9.419,-33.851,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
1.0,10.0,0.1,1e-06,optimal,3.584,0.0,-9.42,-33.855,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
1.0,10.0,1.0,1e-06,optimal,5.688,0.0,-9.427,-33.915,0.339,-0.716,3.356,-0.703,-0.286,0.017,-0.201,-0.896,-0.297,0.002,-0.067,-0.207,0.027,-0.311
1.0,10.0,10.0,1e-06,optimal,2.608,0.001,-9.492,-34.385,0.516,-0.714,3.362,-0.697,-0.282,0.021,-0.199,-0.894,-0.293,0.002,-0.066,-0.204,0.03,-0.309
1.0,10.0,100.0,1e-06,optimal,1.357,0.003,-10.073,-36.657,3.036,-0.7,3.416,-0.638,-0.242,0.061,-0.172,-0.878,-0.26,0.002,-0.066,-0.177,0.067,-0.288
1.0,100.0,0.001,1e-06,optimal,30.789,0.001,-9.429,-33.437,1.226,-0.711,3.342,-0.651,-0.226,0.008,-0.166,-0.867,-0.277,0.0,-0.063,-0.188,0.025,-0.204
1.0,100.0,0.01,1e-06,optimal,9.91,0.001,-9.429,-33.437,1.226,-0.711,3.342,-0.651,-0.226,0.008,-0.166,-0.867,-0.277,0.0,-0.063,-0.188,0.025,-0.204
1.0,100.0,0.1,1e-06,optimal,0.816,0.001,-9.43,-33.443,1.226,-0.711,3.342,-0.651,-0.226,0.008,-0.166,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.204
1.0,100.0,1.0,1e-06,optimal,2.628,0.001,-9.437,-33.503,1.23,-0.711,3.343,-0.65,-0.225,0.008,-0.165,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.203
1.0,100.0,10.0,1e-06,optimal,3.177,0.001,-9.503,-33.98,1.286,-0.71,3.348,-0.645,-0.222,0.01,-0.163,-0.865,-0.274,0.0,-0.063,-0.186,0.029,-0.202
1.0,100.0,100.0,1e-06,optimal,1.377,0.003,-10.083,-36.323,3.163,-0.696,3.403,-0.59,-0.191,0.028,-0.141,-0.85,-0.243,0.0,-0.062,-0.161,0.065,-0.189
10.0,0.001,0.001,1e-06,optimal,25.283,0.0,-9.418,-33.891,0.0,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.001,0.01,1e-06,user_limit,127.62,0.0,-9.418,-33.891,0.004,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.001,0.1,1e-06,user_limit,123.076,0.0,-9.418,-33.891,0.004,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.001,1.0,1e-06,user_limit,122.898,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.001,10.0,1e-06,optimal,58.776,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
10.0,0.001,100.0,1e-06,optimal,7.834,0.0,-9.491,-34.424,0.495,-0.715,3.363,-0.703,-0.291,0.024,-0.204,-0.898,-0.296,0.016,-0.067,-0.206,0.03,-0.328
10.0,0.01,0.001,1e-06,optimal,24.032,0.0,-9.418,-33.891,0.0,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.01,0.01,1e-06,optimal_inaccurate,127.02,0.0,-9.418,-33.891,0.003,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.01,0.1,1e-06,user_limit,122.752,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.01,1.0,1e-06,optimal,53.407,0.0,-9.418,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.01,10.0,1e-06,optimal,17.39,0.0,-9.426,-33.957,0.064,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
10.0,0.01,100.0,1e-06,optimal,6.147,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.291,0.024,-0.204,-0.898,-0.296,0.016,-0.067,-0.206,0.03,-0.328
10.0,0.1,0.001,1e-06,optimal,24.022,0.0,-9.418,-33.891,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.1,0.01,1e-06,optimal_inaccurate,125.897,0.0,-9.418,-33.891,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.1,0.1,1e-06,optimal,113.176,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.1,1.0,1e-06,optimal,107.592,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
10.0,0.1,10.0,1e-06,optimal,40.432,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
10.0,0.1,100.0,1e-06,optimal,4.736,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.291,0.024,-0.204,-0.898,-0.296,0.016,-0.067,-0.206,0.03,-0.328
10.0,1.0,0.001,1e-06,optimal,23.784,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
10.0,1.0,0.01,1e-06,optimal,59.756,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
10.0,1.0,0.1,1e-06,optimal,34.312,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
10.0,1.0,1.0,1e-06,optimal,39.357,0.0,-9.418,-33.899,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
10.0,1.0,10.0,1e-06,optimal,48.006,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.015,-0.067,-0.209,0.027,-0.33
10.0,1.0,100.0,1e-06,optimal,4.044,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.204,-0.898,-0.296,0.015,-0.067,-0.206,0.03,-0.328
10.0,10.0,0.001,1e-06,optimal,25.892,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
10.0,10.0,0.01,1e-06,optimal,69.15,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
10.0,10.0,0.1,1e-06,optimal,3.528,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
10.0,10.0,1.0,1e-06,optimal,15.88,0.0,-9.419,-33.9,0.135,-0.716,3.357,-0.709,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
10.0,10.0,10.0,1e-06,optimal,29.297,0.0,-9.426,-33.959,0.136,-0.716,3.358,-0.709,-0.294,0.02,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.027,-0.328
10.0,10.0,100.0,1e-06,optimal,8.766,0.0,-9.491,-34.427,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.203,-0.897,-0.295,0.01,-0.067,-0.206,0.03,-0.326
10.0,100.0,0.001,1e-06,optimal,27.985,0.0,-9.419,-33.85,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
10.0,100.0,0.01,1e-06,optimal,24.927,0.0,-9.419,-33.85,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
10.0,100.0,0.1,1e-06,optimal,0.501,0.0,-9.422,-33.857,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
10.0,100.0,1.0,1e-06,optimal,3.69,0.0,-9.42,-33.854,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
10.0,100.0,10.0,1e-06,optimal,5.672,0.0,-9.427,-33.915,0.339,-0.716,3.356,-0.703,-0.286,0.017,-0.201,-0.896,-0.297,0.002,-0.067,-0.207,0.027,-0.311
10.0,100.0,100.0,1e-06,optimal,2.591,0.001,-9.492,-34.385,0.516,-0.714,3.362,-0.697,-0.282,0.021,-0.199,-0.894,-0.293,0.002,-0.066,-0.204,0.03,-0.309
100.0,0.001,0.001,1e-06,optimal,29.22,0.0,-9.418,-33.891,0.0,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.001,0.01,1e-06,user_limit,128.106,0.0,-9.418,-33.891,0.02,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.001,0.1,1e-06,user_limit,124.134,0.0,-9.418,-33.891,0.004,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.001,1.0,1e-06,user_limit,123.084,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.001,10.0,1e-06,user_limit,122.866,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.001,100.0,1e-06,optimal,28.306,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
100.0,0.01,0.001,1e-06,optimal,28.821,0.0,-9.418,-33.891,0.0,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.01,0.01,1e-06,user_limit,128.121,0.0,-9.418,-33.892,0.009,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.01,0.1,1e-06,user_limit,122.571,0.0,-9.418,-33.891,0.003,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.01,1.0,1e-06,user_limit,122.994,0.0,-9.418,-33.891,0.005,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.01,10.0,1e-06,user_limit,122.909,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.01,100.0,1e-06,optimal,57.141,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
100.0,0.1,0.001,1e-06,optimal,27.719,0.0,-9.418,-33.891,0.0,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.1,0.01,1e-06,user_limit,126.431,0.0,-9.418,-33.891,0.003,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.1,0.1,1e-06,optimal_inaccurate,123.032,0.0,-9.418,-33.891,0.004,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.1,1.0,1e-06,user_limit,124.093,0.0,-9.418,-33.891,0.004,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.1,10.0,1e-06,user_limit,122.755,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,0.1,100.0,1e-06,optimal,60.222,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
100.0,1.0,0.001,1e-06,optimal,28.631,0.0,-9.418,-33.891,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,1.0,0.01,1e-06,optimal,111.179,0.0,-9.418,-33.892,0.003,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,1.0,0.1,1e-06,optimal,50.88,0.0,-9.418,-33.891,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,1.0,1.0,1e-06,optimal,108.706,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,1.0,10.0,1e-06,optimal,115.122,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
100.0,1.0,100.0,1e-06,optimal,47.396,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
100.0,10.0,0.001,1e-06,optimal,31.147,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
100.0,10.0,0.01,1e-06,optimal,65.542,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
100.0,10.0,0.1,1e-06,optimal,3.51,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
100.0,10.0,1.0,1e-06,optimal,34.231,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
100.0,10.0,10.0,1e-06,optimal,52.233,0.0,-9.418,-33.899,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
100.0,10.0,100.0,1e-06,optimal,26.789,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.015,-0.067,-0.209,0.027,-0.33
100.0,100.0,0.001,1e-06,optimal,41.408,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
100.0,100.0,0.01,1e-06,optimal,68.977,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
100.0,100.0,0.1,1e-06,optimal,0.5,0.0,-9.418,-33.895,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
100.0,100.0,1.0,1e-06,optimal,2.979,0.0,-9.418,-33.893,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
100.0,100.0,10.0,1e-06,optimal,10.297,0.0,-9.419,-33.9,0.135,-0.716,3.357,-0.709,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
100.0,100.0,100.0,1e-06,optimal,13.901,0.0,-9.426,-33.96,0.136,-0.716,3.358,-0.709,-0.294,0.02,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.027,-0.328
