timestamp,CAISO,WECC
2017-12-01 00:00:00+00:00,,122424.0
2018-01-01 00:00:00+00:00,46427.0,122424.0
2018-02-01 00:00:00+00:00,46427.0,122424.0
2018-03-01 00:00:00+00:00,46427.0,122424.0
2018-04-01 00:00:00+00:00,46427.0,122424.0
2018-05-01 00:00:00+00:00,46427.0,122424.0
2018-06-01 00:00:00+00:00,46427.0,160079.0
2018-07-01 00:00:00+00:00,46427.0,160079.0
2018-08-01 00:00:00+00:00,46427.0,160079.0
2018-09-01 00:00:00+00:00,46427.0,160079.0
2018-10-01 00:00:00+00:00,46427.0,160079.0
2018-11-01 00:00:00+00:00,46427.0,160079.0
2018-12-01 00:00:00+00:00,46427.0,124640.0
2019-01-01 00:00:00+00:00,44301.0,124640.0
2019-02-01 00:00:00+00:00,44301.0,124640.0
2019-03-01 00:00:00+00:00,44301.0,124640.0
2019-04-01 00:00:00+00:00,44301.0,124640.0
2019-05-01 00:00:00+00:00,44301.0,124640.0
2019-06-01 00:00:00+00:00,44301.0,152664.0
2019-07-01 00:00:00+00:00,44301.0,152664.0
2019-08-01 00:00:00+00:00,44301.0,152664.0
2019-09-01 00:00:00+00:00,44301.0,152664.0
2019-10-01 00:00:00+00:00,44301.0,152664.0
2019-11-01 00:00:00+00:00,44301.0,152664.0
2019-12-01 00:00:00+00:00,44301.0,122421.0
2020-01-01 00:00:00+00:00,47121.0,122421.0
2020-02-01 00:00:00+00:00,47121.0,122421.0
2020-03-01 00:00:00+00:00,47121.0,122421.0
2020-04-01 00:00:00+00:00,47121.0,122421.0
2020-05-01 00:00:00+00:00,47121.0,122421.0
2020-06-01 00:00:00+00:00,47121.0,163459.0
2020-07-01 00:00:00+00:00,47121.0,163459.0
2020-08-01 00:00:00+00:00,47121.0,163459.0
2020-09-01 00:00:00+00:00,47121.0,163459.0
2020-10-01 00:00:00+00:00,47121.0,163459.0
2020-11-01 00:00:00+00:00,47121.0,163459.0
2020-12-01 00:00:00+00:00,47121.0,122330.0
2021-01-01 00:00:00+00:00,43982.0,122330.0
2021-02-01 00:00:00+00:00,43982.0,122330.0
2021-03-01 00:00:00+00:00,43982.0,122330.0
2021-04-01 00:00:00+00:00,43982.0,122330.0
2021-05-01 00:00:00+00:00,43982.0,122330.0
2021-06-01 00:00:00+00:00,43982.0,159104.0
2021-07-01 00:00:00+00:00,43982.0,159104.0
2021-08-01 00:00:00+00:00,43982.0,159104.0
2021-09-01 00:00:00+00:00,43982.0,159104.0
2021-10-01 00:00:00+00:00,43982.0,159104.0
2021-11-01 00:00:00+00:00,43982.0,159104.0
2021-12-01 00:00:00+00:00,43982.0,122330.0
2022-01-01 00:00:00+00:00,52061.0,122330.0
2022-02-01 00:00:00+00:00,,122330.0
2022-03-01 00:00:00+00:00,,122330.0
2022-04-01 00:00:00+00:00,,122330.0
2022-05-01 00:00:00+00:00,,122330.0
2022-06-01 00:00:00+00:00,,167530.0
